OBJECTID,WATMAINID,STATUS,PRESSURE_ZONE,ROADSEGMENTID,MAP_LABEL,CATEGORY,PIPE_SIZE,MATERIAL,LINED,LINED_DATE,LINED_MATERIAL,INSTALLATION_DATE,ACQUISITION,CONSULTANT,OWNERSHIP,BRIDGE_MAIN,BRIDGE_DETAILS,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,Undersized,Shallow Main,Condition Score,OVERSIZED,CLEANED,Shape__Length
86348,90576,ACTIVE,KIT 5,6161,172.3m 150mm  DI,TREATED,150,DI,NO,,NONE,4/4/1974,DONATED,NA,KITCHENER,N,,5,6,16,N,N,6.5,N,N,172.2530999
86349,16540,ACTIVE,KIT 5,6161,221.9m 150mm  DI,TREATED,150,DI,NO,,NONE,4/4/1974,DONATED,NA,KITCHENER,N,,5,6,16,N,N,5.7,N,N,221.8550054
86350,90578,ACTIVE,KIT 5,6161,6.5m 150mm  DI,TREATED,150,DI,NO,,NONE,4/4/1974,DONATED,NA,KITCHENER,N,,5,6,16,N,N,8.5,N,N,6.508399324
86351,90580,ACTIVE,KIT 4,22980,8.2m 150mm  DI,TREATED,150,DI,NO,,NONE,6/1/1987,DONATED,,KITCHENER,N,,5,4,28,N,N,9.1,N,Y,8.226606971
86352,13360,ACTIVE,KIT 4,22980,87.1m 150mm  DI,TREATED,150,DI,NO,,NONE,6/1/1987,DONATED,,KITCHENER,N,,5,4,28,N,N,9.1,N,Y,87.05506199
86353,90582,ACTIVE,KIT 4,22550,53.8m 150mm  DI,TREATED,150,DI,NO,,NONE,6/1/1987,DONATED,,KITCHENER,N,,5,4,27,N,N,9.1,N,Y,53.76471939
86354,90584,ACTIVE,KIT 4,22550,5.6m 150mm  DI,TREATED,150,DI,NO,,NONE,6/1/1987,DONATED,,KITCHENER,N,,5,4,27,N,N,9.1,N,Y,5.608061853
86355,90586,ACTIVE,KIT 2W,16074,1.8m 200mm  DI,TREATED,200,DI,NO,,NONE,1/1/1972,PURCHASED,,KITCHENER,N,,7,5,34,N,N,8.5,N,N,1.824833713
86356,30780,ACTIVE,KIT 2W,16074,119.6m 200mm  DI,TREATED,200,DI,NO,,NONE,1/1/1972,PURCHASED,,KITCHENER,N,,6,5,34,N,N,6.9,N,N,119.644677
86357,90588,ACTIVE,KIT 2W,16074,8.8m 200mm  DI,TREATED,200,DI,NO,,NONE,1/1/1972,PURCHASED,,KITCHENER,N,,6,5,34,N,N,8.5,N,N,8.845506783
86358,70670,ACTIVE,KIT 4,40266,153.7m 300mm  PVC,TREATED,300,PVC,NO,,NONE,6/21/2006,DONATED,NA,KITCHENER,N,,7,4,0,N,N,9.35,N,Y,153.7055734
86359,69179,ACTIVE,KIT 4,5898,5.3m 300mm  PVC,TREATED,300,PVC,NO,,NONE,2/1/2008,PURCHASED,,KITCHENER,N,,8,2,22,N,N,9.35,N,Y,5.298656623
86361,90590,ACTIVE,KIT 2EA,600078,1.8m 150mm  PVC,TREATED,150,PVC,NO,,NONE,6/1/2002,DONATED,,KITCHENER,N,,5,5,28,N,N,9.35,N,N,1.81028538
86362,90592,ACTIVE,KIT 2EA,600078,43.6m 150mm  PVC,TREATED,150,PVC,NO,,NONE,6/1/2002,DONATED,,KITCHENER,N,,5,5,28,N,N,9.35,N,N,43.56564031
86363,90594,ACTIVE,KIT 2EA,600078,5.7m 150mm  PVC,TREATED,150,PVC,NO,,NONE,6/1/2002,DONATED,,KITCHENER,N,,5,5,28,N,N,9.35,N,N,5.723710306
86364,68550,ACTIVE,KIT 2EA,600078,115.3m 150mm  PVC,TREATED,150,PVC,NO,,NONE,6/1/2002,DONATED,,KITCHENER,N,,5,5,28,N,N,9.35,N,N,115.2794557
86365,90596,ACTIVE,KIT 2EA,600078,110.3m 150mm  PVC,TREATED,150,PVC,NO,,NONE,6/1/2002,DONATED,,KITCHENER,N,,5,5,28,N,N,9.35,N,N,110.3206869
86366,90598,ACTIVE,KIT 2EA,600078,75.3m 150mm  PVC,TREATED,150,PVC,NO,,NONE,6/1/2002,DONATED,,KITCHENER,N,,5,5,28,N,N,9.35,N,N,75.25113497
86367,90600,ACTIVE,KIT 2EA,600078,97.9m 150mm  PVC,TREATED,150,PVC,NO,,NONE,6/1/2002,DONATED,,KITCHENER,N,,5,5,28,N,N,9.35,N,N,97.88689108
86368,90602,ACTIVE,KIT 4,13144,19.8m 200mm  PVC,TREATED,200,PVC,NO,,NONE,6/1/1999,PURCHASED,,KITCHENER,N,,7,4,18,N,N,9.35,N,Y,19.76882465
86369,62170,ACTIVE,KIT 4,13144,68.4m 200mm  PVC,TREATED,200,PVC,NO,,NONE,6/1/1999,PURCHASED,,KITCHENER,N,,6,4,18,N,N,9.35,N,Y,68.3848095
86370,58200,ACTIVE,KIT 4,21910,45.6m 200mm  DI,TREATED,200,DI,NO,,NONE,1/1/1971,DONATED,,KITCHENER,N,,7,5,29,N,N,8.5,N,N,45.64852347
86371,90604,ACTIVE,KIT 4,21910,2m 200mm  DI,TREATED,200,DI,NO,,NONE,1/1/1971,DONATED,,KITCHENER,N,,7,5,29,N,N,8.5,N,N,2.034360242
86372,90606,ACTIVE,KIT 5,102824,109.6m 300mm  PVC,TREATED,300,PVC,NO,,NONE,6/1/2002,DONATED,,KITCHENER,N,,8,6,25,N,N,9.35,N,Y,109.5857862
86373,68710,ACTIVE,KIT 5,600380,129.9m 300mm  PVC,TREATED,300,PVC,NO,,NONE,6/1/2002,DONATED,,KITCHENER,N,,7,6,25,N,N,9.35,N,Y,129.8643371
86374,90608,ACTIVE,KIT 5,600380,3.2m 300mm  PVC,TREATED,300,PVC,NO,,NONE,6/1/2002,DONATED,,KITCHENER,N,,6,6,0,N,N,9.35,N,Y,3.234643514
86375,25680,ACTIVE,KIT 4,10351,86.5m 150mm  PVC,TREATED,150,PVC,NO,,NONE,11/1/1976,DONATED,,KITCHENER,N,,6,4,12,N,N,9.35,N,Y,86.53100776
86376,90610,ACTIVE,KIT 4,10351,7.9m 150mm  PVC,TREATED,150,PVC,NO,,NONE,11/1/1976,DONATED,,KITCHENER,N,,6,4,12,N,N,9.35,N,Y,7.92498212
86377,90612,ACTIVE,KIT 6,21096,8.3m 150mm  DI,TREATED,150,DI,NO,,NONE,1/1/1981,DONATED,,KITCHENER,N,,5,6,2,N,N,8.5,N,Y,8.316158594
86378,90614,ACTIVE,KIT 6,21096,5.5m 150mm  DI,TREATED,150,DI,NO,,NONE,1/1/1981,DONATED,,KITCHENER,N,,5,6,2,N,N,8.5,N,Y,5.451284207
86379,37040,ACTIVE,KIT 6,21096,95.8m 150mm  DI,TREATED,150,DI,NO,,NONE,1/1/1981,DONATED,,KITCHENER,N,,5,6,2,N,N,8.5,N,Y,95.755784
86380,76731,ACTIVE,KIT 4,6844,3.5m 150mm  DI,TREATED,150,DI,NO,,NONE,6/1/1991,PURCHASED,,KITCHENER,N,,6,2,18,N,N,9.1,N,Y,3.484478633
86383,90618,ACTIVE,KIT 4,8695,12.9m 150mm  CI,TREATED,150,CI,NO,,NONE,1/1/1930,PURCHASED,,KITCHENER,N,,5,2,5,N,N,7.75,N,Y,12.86123078
86384,90620,ACTIVE,KIT 4,5862,20.5m 150mm  CI,TREATED,150,CI,NO,,NONE,1/1/1930,PURCHASED,,KITCHENER,N,,5,2,5,N,N,7.75,N,Y,20.49298849
